iteration: 5593
total_loss: 1324.13378906
value_loss: 662.08007812
action_loss: 662.05371094
best_loss: 842.07751465
best_idx: 2592
improvement_counter: 3001
training_reward_count: 5594
training_rewards:
  iteration: 77 | eps_b: 0 | mean_reward: -9.22225952 | std_reward: 8.89524841 | agent_mean_rewards: [-9.012378, -9.461134, -9.538583, -8.989923, -9.109282]
  iteration: 78 | eps_b: 0 | mean_reward: -9.29187107 | std_reward: 8.99723911 | agent_mean_rewards: [ -9.744962, -10.30457 ,  -8.821455,  -9.390615,  -8.197752]
  iteration: 79 | eps_b: 0 | mean_reward: -8.84433937 | std_reward: 9.35002518 | agent_mean_rewards: [-8.218305, -9.502768, -9.752478, -7.983793, -8.764353]
  iteration: 80 | eps_b: 0 | mean_reward: -9.55253315 | std_reward: 9.71624947 | agent_mean_rewards: [-10.118669,  -8.87569 , -10.506538,  -9.313101,  -8.948664]
  iteration: 81 | eps_b: 0 | mean_reward: -9.31795788 | std_reward: 10.46727657 | agent_mean_rewards: [ -9.118266,  -9.350861,  -9.301224,  -8.509768, -10.30967 ]
  iteration: 82 | eps_b: 0 | mean_reward: -9.19595146 | std_reward: 10.05805874 | agent_mean_rewards: [-9.107318, -8.840923, -9.571779, -9.311296, -9.148438]
  iteration: 83 | eps_b: 0 | mean_reward: -9.50254345 | std_reward: 10.08170509 | agent_mean_rewards: [ -7.966764,  -8.524338,  -9.833426, -11.155954, -10.032234]
  iteration: 84 | eps_b: 0 | mean_reward: -8.59245396 | std_reward: 8.28797436 | agent_mean_rewards: [-8.675079, -8.86279 , -7.642968, -9.413625, -8.367807]
  iteration: 85 | eps_b: 0 | mean_reward: -10.52768993 | std_reward: 10.47644138 | agent_mean_rewards: [-10.403313, -10.15403 , -11.004431, -11.118269,  -9.958403]
  iteration: 86 | eps_b: 0 | mean_reward: -9.45772552 | std_reward: 9.44101715 | agent_mean_rewards: [ -9.41098 , -10.172609, -10.714185,  -9.207103,  -7.783748]
  iteration: 87 | eps_b: 0 | mean_reward: -9.65973854 | std_reward: 9.27572536 | agent_mean_rewards: [-10.177526,  -7.921868, -10.195604, -10.115088,  -9.888607]
  iteration: 88 | eps_b: 0 | mean_reward: -9.35373116 | std_reward: 9.81922722 | agent_mean_rewards: [ -8.339819, -10.273239,  -8.693193, -10.28171 ,  -9.180693]
  iteration: 89 | eps_b: 0 | mean_reward: -9.40510178 | std_reward: 9.06618977 | agent_mean_rewards: [ -9.150565, -10.041202,  -8.465066,  -9.247873, -10.120806]
  iteration: 90 | eps_b: 0 | mean_reward: -9.16435146 | std_reward: 10.29051018 | agent_mean_rewards: [ -8.857964,  -7.434051,  -9.296762,  -9.913039, -10.319937]
  iteration: 91 | eps_b: 0 | mean_reward: -9.49763489 | std_reward: 9.26126003 | agent_mean_rewards: [-10.163574, -10.096054,  -9.003126,  -9.817005,  -8.408416]
  iteration: 92 | eps_b: 0 | mean_reward: -9.43398571 | std_reward: 8.97651863 | agent_mean_rewards: [ -9.173306,  -9.328089,  -8.90958 ,  -9.677455, -10.081499]
  iteration: 93 | eps_b: 0 | mean_reward: -10.01351929 | std_reward: 10.78932285 | agent_mean_rewards: [ -8.606161,  -8.991378, -13.004774,  -9.609445,  -9.855841]
  iteration: 94 | eps_b: 0 | mean_reward: -9.45336151 | std_reward: 9.58487797 | agent_mean_rewards: [-10.177786, -10.548374,  -8.289507,  -8.449676,  -9.801465]
  iteration: 95 | eps_b: 0 | mean_reward: -9.34484768 | std_reward: 9.47227478 | agent_mean_rewards: [-8.792866, -8.911192, -9.801818, -9.589127, -9.629236]
  iteration: 96 | eps_b: 0 | mean_reward: -9.89495564 | std_reward: 10.54380703 | agent_mean_rewards: [-10.314611, -10.293817,  -8.403299, -11.087223,  -9.375831]
  iteration: 97 | eps_b: 0 | mean_reward: -9.37244701 | std_reward: 9.84240532 | agent_mean_rewards: [-10.359818,  -9.070289,  -9.597663,  -9.5093  ,  -8.325166]
  iteration: 98 | eps_b: 0 | mean_reward: -9.06665707 | std_reward: 9.20157433 | agent_mean_rewards: [ -9.225696, -10.444385,  -8.686979,  -8.548386,  -8.427836]
  iteration: 99 | eps_b: 0 | mean_reward: -8.96066570 | std_reward: 9.32666206 | agent_mean_rewards: [-8.444325, -8.100559, -9.783102, -9.504269, -8.971075]
  iteration: 100 | eps_b: 0 | mean_reward: -8.76256466 | std_reward: 9.18617249 | agent_mean_rewards: [-8.916131, -9.02089 , -9.165829, -9.448186, -7.261788]
  iteration: 101 | eps_b: 0 | mean_reward: -9.33947086 | std_reward: 9.40579510 | agent_mean_rewards: [-10.307024,  -8.951456,  -8.829077,  -8.099174, -10.510622]
  iteration: 102 | eps_b: 0 | mean_reward: -9.07248878 | std_reward: 9.00259018 | agent_mean_rewards: [ -9.210743,  -8.975513,  -9.053373,  -7.701882, -10.42093 ]
  iteration: 103 | eps_b: 0 | mean_reward: -9.50547218 | std_reward: 9.33435440 | agent_mean_rewards: [-10.422302, -11.057665,  -9.409653,  -8.950545,  -7.687198]
